"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.92783352579803e-11,0.339824683066318,0.461,0.379,8.11566175015955e-07,"SAFB"
1.25352315754619e-07,0.339788858421703,0.315,0.259,0.00347464084040228,"KCNMA1"
5.51677395554955e-14,0.339598217661328,0.504,0.405,1.52919457273878e-09,"LPCAT3"
3.14740140477581e-08,0.339087066832301,0.385,0.324,0.000872428195389806,"SMC5"
6.4241499009342e-11,0.339052653605412,0.338,0.258,1.78071011103995e-06,"LSG1"
2.29900349301657e-30,0.339037617094423,0.793,0.704,6.37260778229262e-26,"EMC4"
5.31671852568414e-23,0.33902438624812,0.827,0.757,1.47374120813439e-18,"NDUFS7"
1.56296737556466e-11,0.338954977034843,0.423,0.34,4.33238926832768e-07,"PCID2"
2.41128557145197e-08,0.338157499762819,0.533,0.478,0.000668384247550772,"C11orf73"
2.21310584631639e-40,0.337450318398199,0.948,0.927,6.13450809540439e-36,"PERP"
6.37760897798409e-07,0.337048118288084,0.377,0.313,0.0176780943260741,"TBC1D20"
1.78479407749026e-09,0.336635158296192,0.294,0.223,4.94727070339526e-05,"MTURN"
3.44117267037449e-19,0.33566921395678,0.453,0.332,9.53858652501105e-15,"TSPAN6"
2.08917971513742e-26,0.335584167776329,0.805,0.713,5.7909972523894e-22,"EIF6"
4.19401579243755e-25,0.335440609495131,0.869,0.836,1.16253923750576e-20,"HNRNPU"
3.70606295734092e-11,0.335200677256609,0.507,0.422,1.02728359114533e-06,"CLMN"
1.42006427349652e-21,0.33461889643215,0.659,0.555,3.93627615970502e-17,"ACTN1"
7.36441890718203e-08,0.334583721545088,0.707,0.647,0.00204134327688179,"ANXA7"
1.28573195385434e-07,0.334353027934542,0.351,0.287,0.00356392040288884,"AGPAT1"
8.96297650108254e-11,0.333487880768505,0.577,0.497,2.48444745633507e-06,"UBA2"
8.44865344567077e-12,0.33344467840664,0.498,0.411,2.34188224860548e-07,"PAF1"
2.76389962777408e-18,0.33317276415544,0.806,0.741,7.66125337822696e-14,"EIF3I"
7.40589684702169e-31,0.333107028552512,0.794,0.695,2.05284054702594e-26,"FKBP8"
3.45703442470531e-12,0.333017008584974,0.415,0.323,9.58255372184066e-08,"SIKE1"
8.97550529141556e-24,0.332135492165164,0.412,0.284,2.48792031172748e-19,"FNDC3B"
1.67765587168417e-13,0.33210473449314,0.406,0.313,4.65029431072135e-09,"FBXW2"
1.35031493272175e-21,0.331954204929423,0.645,0.538,3.74293796201142e-17,"NRDC"
7.94585425882229e-21,0.331442706011258,0.763,0.707,2.20251134200295e-16,"BTF3L4"
1.59286299785483e-08,0.331338752334417,0.263,0.2,0.000441525694375381,"POM121"
1.57450642660819e-09,0.330862912721976,0.276,0.208,4.36437436391525e-05,"CNOT11"
3.60635590767324e-23,0.330854292395012,0.768,0.693,9.99645794047946e-19,"CAP1"
1.67796046718698e-10,0.330669895640732,0.49,0.41,4.6511386189956e-06,"NKAP"
3.64889301448633e-38,0.330638552071015,0.912,0.86,1.01143665468547e-33,"RNF7"
5.79814657454989e-66,0.330443886465418,0.984,0.971,1.60718824899948e-61,"SUMO2"
6.04011476042968e-16,0.330405529100127,0.695,0.64,1.6742594104435e-11,"ARF6"
1.6555806952807e-11,0.330364857205068,0.285,0.207,4.58910412924858e-07,"ARL13B"
2.12886233459223e-12,0.330266744032175,0.412,0.327,5.9009935052562e-08,"TBC1D17"
1.81153098847306e-07,0.330126678810863,0.311,0.25,0.00502138274694848,"PIGBOS1"
9.10473337769783e-09,0.329869527284767,0.385,0.31,0.000252374104496406,"MFSD11"
8.89513220304529e-13,0.329852138363827,0.549,0.453,2.46564169536212e-08,"ASPSCR1"
9.11618162746457e-10,0.329762811352846,0.304,0.232,2.5269143853169e-05,"DNAJA4"
1.42919144357961e-08,0.329578528379825,0.458,0.389,0.000396157576245832,"IL13RA1"
1.00263948612475e-07,0.329022947751503,0.335,0.271,0.00277921639158919,"CDC27"
1.3115013397103e-11,0.328970375067157,0.405,0.322,3.63535056354297e-07,"ADAM10"
4.15315667632685e-16,0.328957051518674,0.739,0.658,1.15121349911104e-11,"RNF114"
3.43013094251731e-14,0.328761074474243,0.407,0.313,9.50797995956373e-10,"ATXN2L"
4.92445350676637e-26,0.328332241482413,0.791,0.716,1.36500926754057e-21,"TFG"
1.08852538204271e-20,0.327816731676677,0.615,0.489,3.01728350648419e-16,"LYPLA2"
3.84685531575497e-11,0.327553378420029,0.546,0.461,1.06630982497412e-06,"RHOV"
1.41160397163105e-10,0.326893216695741,0.482,0.408,3.91282504896411e-06,"ARL6IP6"
3.16066333150771e-09,0.326742842593055,0.402,0.325,8.76104268860622e-05,"KPNA6"
1.2620804404258e-08,0.326567497805148,0.389,0.321,0.000349836077281627,"ZNF302"
5.67100580525172e-17,0.326346100949477,0.31,0.213,1.57194609915772e-12,"PGM2L1"
1.00761751218329e-10,0.326061230803668,0.476,0.393,2.79301498202087e-06,"BOLA1"
2.28604416707543e-09,0.325829910123691,0.307,0.238,6.33668582671638e-05,"PPP1R8"
1.14182330579413e-15,0.325726465770996,0.469,0.363,3.16502002133074e-11,"MAGT1"
1.11461664203651e-06,0.325673143542648,0.452,0.394,0.0308960587006101,"POP4"
4.73011668838775e-10,0.325567031728749,0.372,0.294,1.3111410448542e-05,"CSTF3"
4.7666601292127e-10,0.325330783151013,0.322,0.251,1.32127052121647e-05,"STK24"
1.75193400555445e-39,0.324904797029843,0.952,0.931,4.85618586999637e-35,"NDUFB4"
1.35544368396824e-13,0.324818396432537,0.25,0.171,3.75715434759157e-09,"LRP5"
5.64462929292549e-08,0.324803989196901,0.512,0.46,0.00156463479370602,"MAPK1IP1L"
1.4492670181222e-10,0.324635061079783,0.291,0.219,4.01722324753293e-06,"BCS1L"
4.27204895572102e-12,0.324545758560477,0.461,0.375,1.18416925003631e-07,"IFNAR1"
1.84658322446202e-14,0.324351085997693,0.662,0.564,5.11854403988628e-10,"RAC3"
2.15259007672017e-14,0.323862383103295,0.481,0.382,5.96676443366063e-10,"TES"
1.58052116113201e-15,0.323805242372751,0.864,0.819,4.38104660654180e-11,"ATP5B"
6.54947056338347e-10,0.32334305496975,0.419,0.351,1.81544774546426e-05,"COX19"
1.61075728907687e-14,0.323321837762319,0.415,0.316,4.46485812959218e-10,"SLC5A6"
1.47448127632535e-25,0.32318644342084,0.84,0.784,4.08711464984623e-21,"POLR2I"
1.40771686963407e-14,0.322001756839572,0.603,0.507,3.90205039093869e-10,"NUDT22"
2.71804668910056e-14,0.321805335456203,0.775,0.743,7.53415361751785e-10,"CCT4"
9.88779763169655e-12,0.321624890703074,0.531,0.448,2.74079862552997e-07,"OSTF1"
6.05868992804025e-15,0.321610216030806,0.411,0.311,1.67940826115348e-10,"PTPN11"
1.08691221063053e-11,0.321368993282495,0.505,0.419,3.01281195664676e-07,"VAPB"
2.19987545715088e-09,0.321168333658536,0.471,0.396,6.09783477967652e-05,"TMED1"
3.33930561715016e-09,0.321163149229076,0.303,0.231,9.25622124017854e-05,"KLHL7"
7.25042715859779e-11,0.320844542705183,0.38,0.299,2.00974590409172e-06,"ALDH2"
4.49153149228437e-10,0.320522474918159,0.61,0.541,1.2450076143463e-05,"VDAC3"
9.36655038143479e-14,0.320322914463176,0.64,0.557,2.59631410022991e-09,"THOC2"
1.17810746283055e-10,0.320253077449004,0.568,0.492,3.26559607622001e-06,"C17orf62"
1.24194094538567e-12,0.320180430988175,0.422,0.334,3.44253610651455e-08,"ANKRD37"
1.15107923929341e-10,0.319725164631389,0.396,0.315,3.19067654339741e-06,"SNAPC5"
4.83144264219711e-25,0.319447986101653,0.707,0.574,1.33922758599062e-20,"HDDC2"
3.54707580733686e-07,0.31933097956374,0.255,0.201,0.00983213943035705,"RNF121"
2.41071983180425e-14,0.319268525318074,0.738,0.704,6.68227430177819e-10,"PYCR1"
5.14039126694424e-09,0.319178112711762,0.52,0.477,0.000142486505528427,"REEP6"
6.2622444459224e-07,0.318344836093567,0.431,0.369,0.0173583153796523,"TMBIM1"
2.18046066726831e-26,0.318301612994493,0.823,0.745,6.04401892360103e-22,"ZC3H15"
4.36087902779448e-10,0.318185963611284,0.339,0.261,1.20879205771435e-05,"TRMT61A"
5.77519749032309e-35,0.317919309414868,0.946,0.905,1.60082699234266e-30,"PARK7"
3.41250817896924e-16,0.317891982422901,0.617,0.521,9.45913142128485e-12,"DCUN1D5"
2.96476807877231e-08,0.317772806874104,0.251,0.19,0.000821804063754896,"PDDC1"
2.49459033279076e-14,0.317706441273271,0.616,0.517,6.91475494346272e-10,"ICT1"
4.78355675501095e-09,0.317654046089791,0.323,0.252,0.000132595409692149,"NCLN"
8.15086751144758e-13,0.317192808954456,0.26,0.185,2.25933896549815e-08,"CAV2"
9.70429551613032e-12,0.316816661976087,0.301,0.219,2.68993367411616e-07,"SPRTN"
1.04179901556138e-13,0.316522518401764,0.548,0.452,2.8877626912346e-09,"PPIF"
2.1362420623368e-30,0.316487991532513,0.967,0.951,5.92144937259138e-26,"DYNLL1"
1.3062379376842e-13,0.316447239597222,0.523,0.441,3.62076093946683e-09,"LLGL2"
