"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.335897702902079,0.326,0.125,0,"19","ARHGEF12"
0,0.764296431477102,0.29,0.089,0,"19","TNKS1BP1"
0,0.310082063705111,0.993,0.792,0,"19","CHCHD2"
0,1.07671906218182,0.259,0.059,0,"19","PHF10"
0,0.609937079639273,0.274,0.074,0,"19","AEN"
0,0.841260882397423,0.286,0.086,0,"19","SPOPL"
0,0.303835854467477,0.345,0.145,0,"19","MID1IP1"
0,0.332145417104949,0.348,0.148,0,"19","OGFOD3"
0,0.635766038471532,0.276,0.077,0,"19","CEPT1"
0,1.39282297320974,0.255,0.056,0,"19","TMEM136"
0,0.772652007247045,0.251,0.052,0,"19","GNG7"
0,0.502058282546678,0.289,0.09,0,"19","PPP3CB"
0,0.797026225879119,0.285,0.086,0,"19","TMEM189"
0,0.283690689950131,0.285,0.086,0,"19","USP18"
0,1.52917872601332,0.252,0.054,0,"19","CNKSR1"
0,0.649634509119335,0.277,0.079,0,"19","OMA1"
0,0.570332565955674,0.3,0.102,0,"19","MCEE"
0,0.482681196676303,0.302,0.104,0,"19","IMPAD1"
0,0.325055019894119,0.308,0.11,0,"19","YEATS4"
0,0.669253651907839,0.297,0.099,0,"19","NADK"
0,0.575589363069103,0.298,0.1,0,"19","AK4"
0,0.909756524502499,0.29,0.092,0,"19","TMEM150A"
0,0.409161339582844,0.294,0.096,0,"19","DTX2"
0,0.381180219362295,0.288,0.09,0,"19","SAMD8"
0,0.380641359320887,0.295,0.097,0,"19","ZNF75A"
0,0.398554949570983,0.306,0.109,0,"19","LINC01184"
0,0.761978100509672,0.27,0.073,0,"19","MIOS"
0,0.300344785339948,0.334,0.137,0,"19","PTGR1"
0,0.277603133050055,0.323,0.126,0,"19","TUG1"
0,0.380829224336304,0.298,0.101,0,"19","VPS41"
0,0.531844574627908,0.283,0.086,0,"19","FAM134C"
0,1.16341194652865,0.255,0.059,0,"19","CCDC125"
0,0.357147495655614,0.318,0.122,0,"19","CDKN2AIPNL"
0,1.29022098092002,0.25,0.054,0,"19","DLG5"
0,0.558850936249023,0.28,0.084,0,"19","CYB5D2"
0,0.340225154426891,0.279,0.083,0,"19","ZNF224"
0,1.00542042646179,0.257,0.061,0,"19","SLC2A11"
0,0.461295627235785,0.296,0.1,0,"19","ALKBH3"
